nome_bairro,nome_regiao_regioes_id
Vila Esplanada 2ª Seção,CENTRO
Vila Feliciana Carolina (parte),CENTRO
Vila Santa Rosa (parte),CENTRO
Vila Marisa,CENTRO
Vila Guarani,CENTRO
Vila Independência,CENTRO
Planalto,CENTRO
Vila Planalto,CENTRO
Vila Soares,CENTRO
Vila Soares 2ª Seção,CENTRO
Vila São Manoel,CENTRO
Vila Santa Tereza,CENTRO
Vila Estephania,CENTRO
Vila Santa Rosa (parte),CENTRO
Vila Feliciana Carolina (parte),CENTRO
Vila Alto Sumaré,CENTRO
Vila Corumbá,CENTRO
Vila Santos,CENTRO
Vila Boa Vista,CENTRO
Monte Verde,CENTRO
Colinas de Campo Grande,CENTRO
Sky Residence,CENTRO
