"id","nome_bairro","nome_regiao_regioes_id"
1268,Parque Residencial Damha II,BANDEIRA
1269,Parque Residencial Damha III,BANDEIRA
1270,Parque Residencial Damha IV,BANDEIRA
1271,Rita Vieira,BANDEIRA
1272,Parque Rita Vieira,BANDEIRA
1273,Vila Dom Pedrito,BANDEIRA
1274,Vila Morumbi ,BANDEIRA
1275,Coopharádio,BANDEIRA
1276,Chácara José Antônio Pereira,BANDEIRA
1277,Jardim LAGOA Dourada,BANDEIRA
1278,Jardim Nossa Senhora do Perpétuo Socorro,BANDEIRA
1279,Jardim Itamaracá,BANDEIRA
1280,Jardim Anhanguera,BANDEIRA
1281,Jardim Águas Vivas,BANDEIRA
1282,Carlota,BANDEIRA
1283,Vila Ieda,BANDEIRA
1284,Vila Dr. Albuquerque ,BANDEIRA
1285,Jardim Itapema,BANDEIRA
1286,Dr. Albuquerque,BANDEIRA
1287,Vila Olinda,BANDEIRA
1288,Vila Progresso 3º ,BANDEIRA
1289,Vila Maciel,BANDEIRA
1290,Universitário  A,BANDEIRA
1291,Universitário  B,BANDEIRA
1292,Residencial Betaville,BANDEIRA
1293,Vila Concórdia,BANDEIRA
1294,Vila Santo Eugênio,BANDEIRA
1295,Jardim Ametista,BANDEIRA
1296,Jardim Tropical,BANDEIRA
1297,Pequena Flor I,BANDEIRA
1298,Jardim das Perdizes,BANDEIRA
1299,Recanto das Palmeiras,BANDEIRA
1300,Jardim Campo Limpo,BANDEIRA
1301,Núcleo Habitacional Recanto dos Rouxinóis,BANDEIRA
1302,Jardim Moema,BANDEIRA
1303,Sitiocas Alvorada,BANDEIRA
1304,Jardim Campina Verde,BANDEIRA
1305,Jardim Campo Alto,BANDEIRA
1306,Jardim Pacaembu,BANDEIRA
1307,Núcelo Campina Verde,BANDEIRA
1308,Jardim Indianápolis,BANDEIRA
1309,Vila Julieta,BANDEIRA
1310,Jardim Antares,BANDEIRA
1311,Edson Brito Garcia,BANDEIRA
1312,Loteamento Volpe,BANDEIRA
1313,Loteamento Volpe II,BANDEIRA
1314,Moreninha,BANDEIRA
1315,Núcleo Habitacional Moreninha I,BANDEIRA
1316,Núcleo Habitacional Moreninha II,BANDEIRA
1317,Núcleo Habitacional Moreninha III,BANDEIRA
1318,Loteamento Moreninha IV,BANDEIRA
1319,Chácara Novo Horizonte,BANDEIRA
1320,Jardim Santa Felicidade,BANDEIRA
1321,Vila Cidade Morena,BANDEIRA
1322,Loteamento Municipal Ribeira,BANDEIRA
1323,Jardim Gramado,BANDEIRA
1324,Jardim Nova Capital,BANDEIRA
1325,Jardim Nova Jerusalém,BANDEIRA
1326,Jardim do Córrego,BANDEIRA
1327,Residencial Terra dos Pequis,BANDEIRA
1328,Paraíso do Lageado,BANDEIRA
1329,Taquarussu,ANHANDUIZINHO
1330,Jardim Taquarussu,ANHANDUIZINHO
1331,Cohafama,ANHANDUIZINHO
1332,Vila Santo Afonso,ANHANDUIZINHO
1333,Vila Afonso Pena,ANHANDUIZINHO
1334,Vila Afonso Pena Júnior,ANHANDUIZINHO
1335,Vila Itamarat,ANHANDUIZINHO
1336,Jockey Club,ANHANDUIZINHO
1337,Vila Jardim Jockey Club,ANHANDUIZINHO
1338,Vila Marcos Roberto,ANHANDUIZINHO
1339,Vila Bom Jesus,ANHANDUIZINHO
1340,Vila Santa Amélia Baís,ANHANDUIZINHO
1341,Residencial Santa Celina,ANHANDUIZINHO
1342,América,ANHANDUIZINHO
1343,Vila Jardim América,ANHANDUIZINHO
1344,Vila Valparaíso,ANHANDUIZINHO
1345,Piratininga,ANHANDUIZINHO
1346,Vila Piratininga,ANHANDUIZINHO
1347,Jardim Nhanhá,ANHANDUIZINHO
1348,Promorar,ANHANDUIZINHO
1349,Vila Ipiranga,ANHANDUIZINHO
1350,Núcleo Piratininga,ANHANDUIZINHO
1351,Vila Getúlia Barbosa,ANHANDUIZINHO
1352,Vitta Bella,ANHANDUIZINHO
1353,Jacy,ANHANDUIZINHO
1354,Jardim Jacy,ANHANDUIZINHO
1355,Vila Nova Bandeirantes,ANHANDUIZINHO
1356,Guanandi,ANHANDUIZINHO
1357,Favela Dona Neta,ANHANDUIZINHO
1358,Favela Núcleo Guanandi I,ANHANDUIZINHO
1359,Aero Rancho,ANHANDUIZINHO
1360,Loteamento Guanandi II,ANHANDUIZINHO
1361,Núcleo Aero Rancho I Q.21,ANHANDUIZINHO
1362,Núcleo Aero Rancho Q.5-A,ANHANDUIZINHO
1363,Jardim das Hortênsias I,ANHANDUIZINHO
1364,Jardim das Hortênsias II,ANHANDUIZINHO
1365,Jardim das Hortênsias III,ANHANDUIZINHO
1366,Parati,ANHANDUIZINHO
1367,Jardim Parati,ANHANDUIZINHO
1368,Jardim Parati II,ANHANDUIZINHO
1369,Granja Bandeira ,ANHANDUIZINHO
1370,Loteamento Alto da Boa Vista e Jardim das Nações,ANHANDUIZINHO
1371,Pioneiros,ANHANDUIZINHO
1372,Jardim Colonial,ANHANDUIZINHO
1373,Residencial do Lago,ANHANDUIZINHO
